Level,Name,Branch,Division,Group,Qty,Total Amount
Group,BLACK COFFEE,Stories Sour 2,HOT BAR SECTION,BLACK COFFEE,4238,734626.67
Group,MIXED HOT BEVERAGE,Stories Sour 2,HOT BAR SECTION,MIXED HOT BEVERAGE,8308,1976400
Group,TEA,Stories Sour 2,HOT BAR SECTION,TEA,285,40613.33
Group,BEANS,Stories Sour 2,HOT BAR SECTION,BEANS,13,7200
Division,HOT BAR SECTION,Stories Sour 2,HOT BAR SECTION,BEANS,12844,2758840
Group,MIXED COLD BEVERAGES,Stories Sour 2,COLD BAR SECTION,MIXED COLD BEVERAGES,13321,3229573.33
Group,BLENDED BRINKS,Stories Sour 2,COLD BAR SECTION,BLENDED BRINKS,11574,3123173.33
Group,ICE TEA,Stories Sour 2,COLD BAR SECTION,ICE TEA,954,148766.67
Group,ADD SYRUP,Stories Sour 2,COLD BAR SECTION,ADD SYRUP,16376,581033.33
Group,REPLACE,Stories Sour 2,COLD BAR SECTION,REPLACE,5388,268133.33
Division,COLD BAR SECTION,Stories Sour 2,COLD BAR SECTION,REPLACE,47613,7350680
Group,SOFT DRINKS,Stories Sour 2,GRAB&GO BEVERAGES,SOFT DRINKS,11002,642713.33
Division,GRAB&GO BEVERAGES,Stories Sour 2,GRAB&GO BEVERAGES,SOFT DRINKS,11002,642713.33
Group,COFFEE PASTRY,Stories Sour 2,COFFEE PASTRY,COFFEE PASTRY,2759,816046.67
